prodcode,TermFromEMIS,class,bnf,substance,group
x2052541000033112,Methadone Hydrochloride Diluent Oral Solution Sugar Free,,,methadone,oat
x43441000033118,Amitriptyline Sr Capsules 75 mg,,,amitriptyline,antidepressant
x86941000033114,Aspirin Paracetamol And Codeine Tablets,,,codeine,other_opiates
x458141000033114,Diazepam Rectubes Rectal tubes 20 mg,,,diazepam,benzodiazepine
x460741000033117,Diazepam Syrup 2 mg/5 ml,,,diazepam,benzodiazepine
x167441000033112,Buprenorphine Injection 300 micrograms,,,buprenorphine,oat
x972541000033115,Nitrazepam Mixture 150 ml,,,nitrazepam,benzodiazepine
x1025241000033119,Oxycodone Pectinate Suppositories 30 mg,,,oxycodone,other_opiates
x1040041000033117,Paracetamol & Codeine Tablets,,,codeine,other_opiates
x885741000033117,Methadone Hydrochloride Injection 10mg/ml,,,methadone,oat
x1418141000033117,Temazepam Hard gelatin capsules 20 mg,,,temazepam,benzodiazepine
x3188341000033110,Diazepam Syrup 5 mg/5 ml,,,diazepam,benzodiazepine
x4556341000033112,Morphine Sulfate Injection 10 mg/0.7 ml Auto-Injector,,,morphine,other_opiates
x12373741000033114,Lorazepam Oral solution 1 mg/ml (5 mg/5 ml),,,lorazepam,benzodiazepine
x43641000033116,Amitriptyline Hydrochloride Capsules 50 mg,,,amitriptyline,antidepressant
x248641000033119,Chlordiazepoxide Hydrochloride Tablets 5 mg,,,chlordiazepoxide,benzodiazepine
x438341000033113,Diazepam Capsules 5 mg,,,diazepam,benzodiazepine
x457741000033114,Diazepam Rectubes 10 mg,,,diazepam,benzodiazepine
x979341000033117,Nortriptyline Capsules 25 mg,,,nortriptyline,antidepressant
x1029741000033111,Paracetamol & Codeine Dispersible tablets,,,codeine,other_opiates
x1041941000033110,Papaveretum Tablets 10 mg,,,papaveretum,other_opiates
x933241000033110,Morphine Sulfate Sachets 20 mg,,,morphine,other_opiates
x1417541000033113,Temazepam Gelthix Gel-filled capsules 15 mg,,,temazepam,benzodiazepine
x1423141000033116,Temazepam Single dose vials 10 mg/5 ml,,,temazepam,benzodiazepine
x567641000033118,Fentanyl Citrate Injection 50 micrograms/ml,,,fentanyl,other_opiates
x422441000033115,Dextromoramide Injection 5mg/ml,,,dextromoramide,other_opiates
x443641000033112,Diazepam Elixir 2 mg/5 ml,,,diazepam,benzodiazepine
x446741000033114,Diazepam Injection 5 mg/ml,,,diazepam,benzodiazepine
x447541000033115,Diamorphine Hydrochloride Injection 10 mg/ml,,,diamorphine,other_opiates
x335641000033118,Codeine Linctus Diabetic Linctus 15 mg/5 ml,,,codeine,other_opiates
