MedCodeId,Term,emphysema_chronic_bronchitis
x27096010,Giant bullous emphysema,emphysema
x105519017,Chronic bronchitis,chronic_bronchitis
x123588010,Mucopurulent chronic bronchitis,chronic_bronchitis
x216596014,End stage chronic obstructive airways disease,unspecified
x301456017,Mixed simple and mucopurulent chronic bronchitis,chronic_bronchitis
x301460019,Chronic bullous emphysema,emphysema
x301463017,Segmental bullous emphysema,emphysema
x301470017,Acute vesicular emphysema,emphysema
x457168017,Mild chronic obstructive pulmonary disease,unspecified
x457169013,Moderate chronic obstructive pulmonary disease,unspecified
x475431013,Chronic obstructive pulmonary disease,unspecified
x506053014,Purulent chronic bronchitis,chronic_bronchitis
x508561017,Simple chronic bronchitis,chronic_bronchitis
x1484924013,Chronic obstructive pulmonary disease monitoring,unspecified
x299001000000116,Chronic obstructive pulmonary disease disturbs sleep,unspecified
x885281000006118,Mucopurulent chr. bronchitis,chronic_bronchitis
x909721000006115,[RFC] Emphysema,emphysema
x1771201000006116,Chronic obstructive pulmonary disease multidisciplinary review,unspecified
x1856491000006119,Chronic obstructive pulmonary disease monitoring in primary care,unspecified
x1856501000006110,Chronic obstructive pulmonary disease monitoring secondary care,unspecified
x1856571000006116,Chronic obstructive pulmonary disease severity,unspecified
x1856591000006115,Chronic obstructive pulmonary disease follow-up assessment,unspecified
x1882421000006113,1 COPD exacerbation in past year,unspecified
x1882431000006111,3+ COPD exacerbations in past year,unspecified
x1882441000006118,2 COPD exacerbations in past year,unspecified
x2219861000000114,Chronic obstructive pulmonary disease rescue pack declined,unspecified
x2423731000000115,Telehealth chronic obstructive pulmonary disease monitoring,unspecified
x2010061000006113,Acute non-infective exacerbation of chronic obstructive pulmonary disease,unspecified
x19421011,Interstitial emphysema,emphysema
x139979010,Fetid chronic bronchitis,chronic_bronchitis
x301444018,Simple chronic bronchitis NOS,chronic_bronchitis
x301455018,Obstructive chronic bronchitis NOS,chronic_bronchitis
x301458016,Other chronic bronchitis NOS,chronic_bronchitis
x301468014,Chronic bullous emphysema NOS,emphysema
x301477019,Emphysema NOS,emphysema
x301545019,Chronic obstructive airways disease NOS,unspecified
x1222334016,Other specified chronic obstructive pulmonary disease,unspecified
x1222335015,Chronic obstructive pulmonary disease NOS,unspecified
x553211000006119,"Chron obstruct pulmonary dis wth acute exacerbation, unspec",unspecified
