code,term,type
77021000033112,Inactivated Influenza Vaccine,medcode
308441000000114,Second pandemic influenza vaccination,medcode
308411000000113,First pandemic influenza vaccination,medcode
2549468013,Has influenza vaccination at work,medcode
753841000000112,Influenza vaccination given by other healthcare provider,medcode
924501000006111,Influenza vaccination,medcode
955561000006112,Adverse reaction to influenza vaccine,medcode
1083281000006116,"Adverse reaction to Inactivated Influenza Vaccine, Surface Antigen",medcode
932221000006114,Adv react: influenza vaccine,medcode
1131081000006113,Adverse reaction to Inactivated Influenza Vaccine,medcode
1724231000006113,CELVAPAN - first influenza A (H1N1v) 2009 vaccination given,medcode
1724271000006111,PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given,medcode
1804181000006111,Adverse reaction to Influenza Vaccine (Live Attenuated),medcode
1852961000006118,Influenza A virus subtype H1N1 vaccination,medcode
1851101000006110,Intranasal influenza vaccination,medcode
1724241000006115,CELVAPAN - second influenza A (H1N1v) 2009 vaccination given,medcode
1727781000006114,Influenza A virus subtype H1N1 vaccination administration,medcode
2142081000000112,Seasonal influenza vaccination,medcode
2244031000000119,Administration of intranasal influenza vaccination,medcode
2252191000000113,Administration of second intranasal influenza vaccination,medcode
2252131000000112,Administration of first intranasal influenza vaccination,medcode
17111000000119,Influenza vacc. administratn.,medcode
17151000000115,Influenza vacc.administrat.NOS,medcode
1884471000006118,Administration of first intranasal seasonal influenza vacc,medcode
931801000006112,[X]Influenza vaccine causing adverse effects therapeutic use,medcode
1884411000006110,Administration of first intranasal pandemic influenza vacc,medcode
1724281000006114,PANDEMRIX - second influenza A (H1N1v) 2009 vaccination give,medcode
1700971000006119,1st pandemic influenza vacc give by other healthcare providr,medcode
1986641000006112,Second intranasal seasonal influenza vacc givn by pharmacist,medcode
1884421000006119,Administration of second intranasal pandemic influenza vacc,medcode
1986631000006119,First intranasal seasonal influenza vacc given by pharmacist,medcode
1986661000006111,Second inactivated seasonal influenza vacc gvn by pharmacist,medcode
1943471000006117,1st intramuscular seasonal influenza vacc given by other HCP,medcode
1811611000006112,Seasonal influenza vaccin given by other healthcare provider,medcode
1884491000006117,Administration of second intranasal seasonal influenza vacc,medcode
11935091000006110,Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider,medcode
1966261000006111,Administration of first inactivated seasonal influenza vacc,medcode
1966271000006116,Administration of second inactivated seasonal influenza vacc,medcode
1986651000006114,First inactivated seasonal influenza vacc gvn by pharmacist,medcode
11935031000006111,Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider,medcode
11934931000006111,Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination,medcode
1943461000006112,2nd intramuscular seasonal influenza vacc given by other HCP,medcode
11935101000006116,Second quadrivalent (QIV) inactivated seasonal influenza vaccination given by pharmacist,medcode
11935061000006119,Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by other healthcare provider,medcode
11966421000006117,Adverse reaction to Influenza Vaccine Tetra Myl,medcode
11934981000006112,First non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by pharmacist,medcode
11934951000006116,Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination,medcode
8439011000006112,Seasonal influenza vaccination given by midwife,medcode
2394831000033118,Influenza Vaccine Tetra Myl,medcode
1227545013,[V]Flu - influenza vaccination,medcode
11935001000006115,Second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by pharmacist,medcode
