MedCodeId,Term
x27096010,Giant bullous emphysema
x105519017,Chronic bronchitis
x123588010,Mucopurulent chronic bronchitis
x216596014,End stage chronic obstructive airways disease
x301456017,Mixed simple and mucopurulent chronic bronchitis
x301460019,Chronic bullous emphysema
x301463017,Segmental bullous emphysema
x301470017,Acute vesicular emphysema
x457168017,Mild chronic obstructive pulmonary disease
x457169013,Moderate chronic obstructive pulmonary disease
x475431013,Chronic obstructive pulmonary disease
x506053014,Purulent chronic bronchitis
x508561017,Simple chronic bronchitis
x1484924013,Chronic obstructive pulmonary disease monitoring
x299001000000116,Chronic obstructive pulmonary disease disturbs sleep
x885281000006118,Mucopurulent chr. bronchitis
x909721000006115,[RFC] Emphysema
x1771201000006116,Chronic obstructive pulmonary disease multidisciplinary review
x1856491000006119,Chronic obstructive pulmonary disease monitoring in primary care
x1856501000006110,Chronic obstructive pulmonary disease monitoring secondary care
x1856571000006116,Chronic obstructive pulmonary disease severity
x1856591000006115,Chronic obstructive pulmonary disease follow-up assessment
x1882421000006113,1 COPD exacerbation in past year
x1882431000006111,3+ COPD exacerbations in past year
x1882441000006118,2 COPD exacerbations in past year
x2219861000000114,Chronic obstructive pulmonary disease rescue pack declined
x2423731000000115,Telehealth chronic obstructive pulmonary disease monitoring
x2010061000006113,Acute non-infective exacerbation of chronic obstructive pulmonary disease
x19421011,Interstitial emphysema
x139979010,Fetid chronic bronchitis
x301444018,Simple chronic bronchitis NOS
x301455018,Obstructive chronic bronchitis NOS
x301458016,Other chronic bronchitis NOS
x301468014,Chronic bullous emphysema NOS
x301477019,Emphysema NOS
x301545019,Chronic obstructive airways disease NOS
x1222334016,Other specified chronic obstructive pulmonary disease
x1222335015,Chronic obstructive pulmonary disease NOS
x553211000006119,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
x555461000006119,Chronic obstruct pulmonary dis with acute lower resp infectn
x977891000006112,COPD accident and emergency attendance since last visit
x998281000006115,Multiple COPD emergency hospital admissions
x1704531000006115,COPD patient unsuitable for pulmonary rehab - enh serv admin
x1704541000006113,COPD patient unsuitable for pulmonary rehabilitation
x1783891000006115,Chronic obstructiv pulmonary disease medication optimisation
x1784071000006113,Preferred place of care for next exacerbation of COPD
x1811661000006110,COPD self-management plan agreed
x1885981000006112,Chronic obstructive pulmon dis wr self managem plan declined
x301469018,Other emphysema
x11932351000006110,COPD GOLD group C
x11932361000006112,COPD GOLD group D
x2160051010,Admit COPD emergency
x8312921000006111,COPD (chronic obstructive pulmonary disease) management plan declined
x4733031000006114,Chronic obstructive bronchitis
x2716351000006113,COLD - Chronic obstructive lung disease
x7484341000006112,Optimization of medication for chronic obstructive lung disease
x4781461000006117,Emphysematous bulla
x4733011000006115,COB - Chronic obstructive bronchitis
x4781421000006111,Acute exacerbation of COPD
x8260631000006112,COPD (chronic obstructive pulmonary disease) self-management plan review
x8294671000006116,COPD (chronic obstructive pulmonary disease) written self management plan declined
x9317331000006113,Asthma-COPD overlap syndrome (ACOS)
x4733021000006111,Obstructive chronic bronchitis
x4732991000006119,Chronic bronchitis with emphysema
x4781431000006114,Acute exacerbation of chronic obstructive pulmonary disease
x3764021000006117,Interstitial emphysema of lung
x8316481000006116,Shared care COPD (chronic obstructive pulmonary disease) monitoring
x8125721000006119,At risk of COPD (chronic obstructive pulmonary disease) exacerbation
x12489801000006116,Admit COPD emergency
x2716321000006116,COPD - Chronic obstructive pulmonary disease
x6763231000006119,Emergency hospital admission for chronic obstructive pulmonary disease
x3921361000006112,Emphysema of lung
x12704691000006117,Interstitial emphysema
x12759361000006112,Chronic obstructive pulmonary disease NOS
x285104011,Obstructive chronic bronchitis
x301539010,Other specified chronic obstructive airways disease
x1880061000006110,COPD management plan declined
x1765681000000110,History of chronic obstructive pulmonary disease
x1573111000000115,Issue of chronic obstructive pulmonary disease rescue pack
x516801000000112,Very severe chronic obstructive pulmonary disease
x1813871000006117,On chronic obstructive pulmonary disease supprtv cre pathway
x11932341000006113,COPD GOLD group B
x977911000006114,Number of COPD exacerbations in past year
x7484351000006114,Optimisation of medication for chronic obstructive lung disease
x457581000006111,Acute interstitial emphysema
