age,sex,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Male,355690,355162,342554,342980,332065,326779,332858,323385,320558,310695,300956,301650,311829,322654,327191,335606,346762,360134,357124,362310,366537,374930,364958,357644,357381,360197,351582,343642,333765,323800
1,Male,348360,354799,353622,341208,342010,331344,326837,331961,323615,318932,309629,301593,302325,311879,322159,326684,337182,346927,359574,356537,360920,369103,377591,368150,361337,360991,363311,355122,347033,337269
2,Male,345897,348349,354728,353170,341410,341434,330882,327422,332063,322923,317683,310486,303249,303154,311945,321601,327486,338370,347287,360286,356593,363267,371703,380486,371298,364735,363815,366722,358209,350233
3,Male,350850,346154,348519,355058,353157,341753,341016,330902,328304,331697,322828,318775,312220,304972,303712,311761,322196,327589,339520,348488,361239,358683,365425,374507,383366,374340,367453,366885,369596,361234
4,Male,340177,350428,345828,348897,355666,353375,341728,340350,331069,329024,331349,324180,320895,314157,306341,303996,312551,322061,327578,341396,350034,363089,360834,368032,377084,386065,376684,370156,369309,372226
5,Male,337058,340091,350636,346234,349351,356561,353504,342222,340570,331113,329360,333437,326102,322778,314889,307247,304654,312651,322352,327825,342815,351775,364949,363278,370477,379365,388043,379046,372325,371613
6,Male,335608,336822,340012,350710,346880,350397,356903,353572,342720,339743,330738,331486,335337,327717,323646,315844,308667,305271,313104,322431,328076,344238,353388,366804,365251,372624,381141,389944,380825,374219
7,Male,321684,335847,336537,340331,351055,347410,350678,357263,353592,342615,338380,332287,333713,337185,328630,324833,317411,310106,306203,313371,322384,329541,345749,355224,368849,367332,374299,382853,391546,382526
8,Male,323130,322012,336296,336616,340850,351506,347592,351275,358208,353261,342364,340325,333835,335836,337953,329818,326597,319009,311859,306932,313670,323780,331031,347486,357193,370751,369033,375940,384456,393273
9,Male,322484,322703,322282,336796,336590,341421,351558,347913,351972,358612,352860,343370,342130,335244,337199,339168,331394,328232,320771,313351,307653,315051,325128,332653,349291,359280,372585,370701,377526,386161
10,Male,326496,321923,322034,323014,337786,336962,341716,351796,348552,352561,359135,353809,345082,343840,337041,338718,341052,332653,330379,322710,314994,309199,316394,326681,334541,351442,361183,374227,372267,379314
11,Male,330257,326726,322029,322254,323878,338955,337337,342435,352731,348906,353308,360151,354843,346017,346012,338047,340718,342408,334742,332448,324515,316550,310660,318061,328736,336657,353304,363050,376082,374271
12,Male,318650,329988,326623,322006,322322,324825,339510,337622,343142,352880,349384,353466,361222,354740,347143,347161,339473,342325,344547,336703,334301,325884,318034,312413,320067,330926,338532,355341,364655,377844
13,Male,293440,318732,329942,326812,322221,322465,325560,340650,338138,343786,353350,348695,353953,361303,355231,347556,348996,340558,344768,346550,338619,335887,327294,319871,314445,322184,332724,340477,356851,366326
14,Male,288721,293415,318765,330191,327193,322733,322490,326192,341501,338459,344339,351455,348342,353310,361873,354790,348327,350333,342367,347043,348506,340292,337499,329404,322203,316870,324343,335049,342314,358738
15,Male,301554,288896,293637,318922,330472,327662,323519,323129,326931,341054,340412,342759,351516,348522,354579,364760,356889,350729,353956,345738,350744,350049,341911,339755,332069,325297,319351,326966,337364,344827
16,Male,316478,301281,288692,293407,318817,330569,328165,323904,323812,327416,344276,340872,342047,351533,349556,357122,367614,359075,353967,358232,349391,352304,351534,344125,342463,335163,327772,322053,329348,339718
17,Male,327038,314202,300736,288378,292990,319015,330977,328569,324967,323351,331178,345015,342083,341112,351648,352189,360134,370163,361890,357752,362830,351288,354191,354853,347818,346635,338575,331230,325550,332749
18,Male,349944,323829,310882,296809,284599,288257,313044,324290,322572,317002,321734,334022,348203,344427,341392,355625,356040,363162,374527,366877,363483,365013,353039,357965,359255,352441,350201,342704,335493,330311
19,Male,372163,346082,319644,305713,291929,278065,280979,304292,316198,315290,314519,327621,339550,352695,348641,347961,361341,360129,369210,382777,374911,367793,368805,359162,364756,366462,357774,357238,349262,343752
20,Male,383487,371128,348503,323803,312489,300513,289399,294544,315346,327634,326366,317079,329009,343435,356820,351999,352192,363396,361547,377378,391614,379105,371910,375776,367210,373173,372227,365272,364369,358862
21,Male,382670,382866,370499,347370,324108,312776,301561,291021,295413,314415,328247,330054,320737,335933,349649,362081,360124,354610,364755,371264,387925,395786,382934,378275,383113,374818,378237,379090,371626,372800
22,Male,395386,381827,382462,369772,348386,324954,313722,303354,293684,297357,317041,333455,334337,330817,345101,356323,371861,365381,355441,375503,382973,392853,399816,389014,385653,390705,379254,384953,385032,380425
23,Male,398597,394111,380705,381283,370650,349138,325967,314903,307029,297420,303075,323222,339045,345278,342246,353673,366860,377720,368025,365626,386756,387022,396916,405559,395818,393014,394683,385545,389905,392652
24,Male,410699,397213,392443,379101,381628,370881,349550,326503,318488,310979,304482,308981,329083,350813,356763,352170,365413,372506,380328,379524,375340,389328,389408,400763,411283,402062,394783,398777,388132,395417
25,Male,413096,410269,396651,391824,380858,383341,371715,351102,331249,325109,317573,311594,314522,335086,360085,363825,361385,372309,372073,382955,385830,378222,391983,393300,405948,417030,404149,398344,401477,392703
26,Male,421976,412078,409172,396082,393641,382103,383767,372633,355029,336914,331340,323600,317014,319456,344005,367605,372470,369315,373041,374388,388744,387569,380756,395587,397787,411124,418059,406516,399460,404559
27,Male,421759,419822,411066,408601,397640,394283,382514,384705,376256,360360,342807,336643,328392,321618,326962,351224,376389,380055,371352,376282,379580,390186,389805,383485,399930,402765,411787,419212,407271,402925
28,Male,412151,418678,417763,410491,410299,399112,394354,383046,387723,380973,365262,348022,341242,332623,329247,333402,360047,384633,382088,375988,382535,380237,391796,392176,387025,404393,403210,412432,419256,409830
29,Male,401832,410169,416712,417008,411861,411063,399581,395124,385889,392258,384910,369781,352349,344845,339243,335100,340599,367826,387293,386365,383017,383457,382003,394195,396008,391582,405227,404407,412201,421276
30,Male,398020,399833,408229,415220,417567,412975,411501,399717,397314,389667,395591,385184,370562,353321,347723,341378,336893,345684,373022,388308,388036,382785,384615,383515,396594,399290,391180,405599,403707,413717
31,Male,378627,395457,398133,407126,415196,417689,413229,411806,401848,400734,393097,396108,385969,371690,355866,349257,342657,341135,349402,374061,390576,387979,383889,386452,386313,399829,399062,391440,404660,405041
32,Male,366139,376952,393099,396893,407108,415302,417470,413206,413245,404392,403056,393630,397184,386884,374208,357456,350291,346425,344890,349817,376381,389892,388526,385095,388578,388869,399643,399827,391092,405609
33,Male,358581,365860,375733,391690,397042,407267,414821,417222,414369,415842,406759,403126,393848,398050,388983,375712,358490,353626,349562,345178,351295,375288,389872,389438,386367,390254,388083,399528,399077,391589
34,Male,347425,358702,365073,374668,390960,396970,406484,413701,417444,416472,417582,406532,403262,394021,400234,390295,376780,361619,356390,349679,346680,350572,375438,390681,390743,387989,389410,387477,398283,399035
35,Male,339842,347186,358450,364655,374016,389610,395811,405531,413540,417746,417048,418007,408023,403570,397354,402105,393517,377788,361484,356835,350452,345802,350384,375609,391686,391988,387387,388951,385617,397360
36,Male,330028,339139,346924,358310,364623,373499,388306,394862,405556,413485,417934,417442,419182,407642,406323,398275,404942,394358,377751,362088,357400,349719,345608,350437,376282,392781,391861,387242,387931,385378
37,Male,335168,329384,338282,346744,358425,364549,372737,387311,394984,405801,413528,418196,418437,418758,409825,407064,400415,406160,394381,378268,362691,356752,349479,345551,351122,377270,392246,391396,386129,387466
38,Male,333196,334224,328785,337695,347069,358740,364239,372251,387148,395040,405901,413878,419159,417894,420409,409885,408689,400716,406342,394828,379017,361989,356870,349753,346302,352172,377387,391859,389897,385262
39,Male,326953,332788,333676,328618,337723,347350,358815,364292,372819,387034,395276,406753,415206,418627,419203,420201,410777,408823,400023,406933,395495,378444,362122,356716,349937,346731,352227,377286,390952,389232
40,Male,335546,326539,331665,333076,328775,337505,347513,358880,364533,372156,385494,397769,406404,413560,419564,417521,419348,410123,409583,398083,405691,394462,378605,361909,357070,350339,346452,352101,376940,390310
41,Male,344874,334812,326181,331286,332863,328796,337116,347381,359522,365000,371967,387363,397689,404791,414393,417855,416521,418383,410182,407629,396139,404656,394475,378349,361981,357150,350257,346424,351931,376308
42,Male,357474,343785,333715,325853,330957,332797,328670,336718,347923,360026,364895,373687,387208,396771,405591,413199,416866,415342,418115,407789,405713,395357,404688,394397,378828,362762,357502,350575,346480,351700
43,Male,382195,356535,343017,332843,325840,330485,332323,328499,336825,348749,360201,366354,373474,385828,397834,404488,412490,415738,414866,415628,405426,404697,395228,404660,394896,379290,362962,357469,350755,346250
44,Male,419180,381468,355659,342323,332386,325820,330100,331705,328610,336777,348641,361341,366111,372347,386460,397219,404101,411754,415295,412373,413171,404505,404613,395330,405438,395756,379709,363192,357752,350990
45,Male,326544,416241,380550,354566,341437,331251,325231,329188,331276,328065,336262,346222,360873,366017,371965,386452,395115,403440,411528,415041,411181,412350,404101,404612,395897,405864,395755,379234,362929,357795
46,Male,322340,326460,413561,379902,353735,340432,330050,324693,328619,330475,327721,333961,345889,360416,365463,371988,384214,394935,403243,411547,414054,410463,411749,403988,404902,396365,405783,395517,378695,362732
47,Male,324844,321767,325975,411525,379200,352690,339407,328977,324404,327702,329911,325078,333616,345348,359465,365291,370003,383644,395226,403356,410980,413073,409890,411595,404319,405100,396081,405365,394915,378169
48,Male,307765,323167,321041,325434,409366,378374,351472,338207,328017,323852,326768,327539,324387,333268,344460,358886,363091,369522,383490,395704,402826,410012,412294,409558,411737,404496,404785,395535,404794,394361
49,Male,281382,306692,321551,320342,324754,407040,377230,350321,337341,326839,323232,324806,326871,323517,332518,343792,356490,362480,369375,383477,395504,401718,409131,412066,409599,412008,404069,404530,394940,404120
50,Male,258997,279676,305415,319675,319702,324259,404217,376089,348982,336271,324788,322094,324030,325062,322881,331427,342685,356250,361987,368268,382183,394601,400964,408716,411852,409622,411482,403737,404023,394340
51,Male,274873,258355,278099,304100,318172,318942,323373,401509,375081,347910,334543,323733,320718,322491,324562,321320,330480,342653,355386,360623,367041,381162,393563,400303,408357,411470,408723,410877,403097,403388
52,Male,276860,273423,257343,276484,302886,316501,317895,322463,399169,374220,346118,333182,322481,318501,322151,323042,319933,330564,341750,353500,359204,365826,380153,393040,399787,408082,410685,408088,410430,402558
53,Male,275374,275266,271792,256297,274901,301470,314591,316619,321531,396612,372400,344498,331499,320479,317588,320883,321757,319610,329930,340055,351677,358135,364894,379530,392314,399246,407247,410161,407359,409863
54,Male,270148,273937,273678,270306,255402,273046,299827,312344,315734,320930,393046,370101,342664,329006,319715,315592,319799,321370,318474,328389,338310,350379,356922,364115,378702,391494,398115,406510,409311,406607
55,Male,264732,268476,272258,271992,268517,254108,271121,298040,310369,314421,319684,391421,366732,340397,327499,317903,313202,317906,319953,316973,327115,337129,349091,355810,363081,377767,390196,396937,405400,408245
56,Male,259811,262583,266393,270279,270099,266715,252449,269082,296264,308080,312635,316798,389192,363627,338425,325112,315427,310651,316552,318239,315134,325676,335740,347888,354517,361717,376135,388635,395372,404048
57,Male,250683,257467,260308,264293,268103,268001,264672,250691,267061,294097,305725,309694,313515,387349,360903,335989,322545,313059,308782,315146,316474,313644,324098,334470,346705,353194,360087,374426,386992,393763
58,Male,248977,248125,254989,257905,262139,266067,265769,262391,249193,264620,291858,303510,306471,310600,385885,357834,333094,319871,311206,306648,313535,314333,311644,322384,333033,345189,351191,357968,372260,384799
59,Male,255486,246573,245387,252249,255451,259949,263816,263314,260145,247493,262092,289006,301078,303486,307913,384002,354190,330051,317593,309190,304309,311378,312148,309897,320716,331589,343250,348931,355455,369819
60,Male,257061,251965,243512,242500,249314,252657,257305,261028,260701,257592,245115,259489,286036,298443,300034,304158,379685,350980,327495,315565,306833,301948,309038,310034,308234,319153,329565,341131,346521,352973
61,Male,251524,253195,248292,240795,239550,246393,249726,254696,258543,258011,254742,242059,256582,282765,295650,296256,298977,377626,347736,325086,312732,304215,299450,306940,308188,306384,316966,327219,338742,343949
62,Male,244746,247283,248928,244412,237308,236136,243020,246444,251662,255503,254696,251564,238608,253345,279413,292677,291305,295633,375483,344496,322062,309976,301456,297110,304930,306127,304096,314633,324648,336161
63,Male,240338,240369,242713,244599,240436,233691,232575,239482,243124,248498,252130,251326,247984,234830,250000,275676,288381,287979,292423,373340,340526,319163,307226,299244,294950,302639,303501,301744,312135,322134
64,Male,240166,235323,235628,238129,240080,236076,229851,228844,235826,239557,245047,248545,247568,244035,230879,246429,270859,285693,284431,289249,370535,337027,316060,304443,296646,292301,299835,300853,299092,309187
65,Male,240779,234746,230003,230594,233245,235192,231404,226062,225129,231989,236230,240664,243800,242803,239858,226195,242570,267698,282923,281409,285263,366461,333363,312914,301356,293444,288956,296655,297830,295926
66,Male,232118,234310,228942,224499,225319,228143,230076,226751,221825,220813,228182,231667,235621,238980,238510,235276,221991,239422,264120,280346,277372,281872,362289,329910,309482,298042,289965,285760,293332,294040
67,Male,227191,225377,227410,222782,218714,219690,222694,224736,221531,217392,216647,223530,226713,230650,234488,233894,231014,218153,235913,260731,276947,273717,278365,358049,325837,305838,294012,286256,282145,289269
68,Male,222378,220139,218470,220530,216441,212676,213856,217072,219229,216191,212719,211757,218516,221517,225744,229669,229352,226990,213979,232593,256753,272892,269719,274541,353348,321579,301731,290138,282360,277960
69,Male,226409,214678,212714,211390,213409,209938,206355,207932,211126,213363,211081,207344,206247,212989,216427,220440,224771,225085,222655,209951,228564,252346,268449,265492,270523,348241,316721,297174,285697,277833
70,Male,227783,218002,206707,204896,204130,205840,203033,199802,201648,204830,207508,205381,201562,200775,207837,211213,215511,220151,220470,218362,205293,224297,247788,263763,261077,265988,342389,311407,292274,280574
71,Male,228781,218433,209244,198647,197066,196331,198249,196140,192870,195125,198637,200991,199280,195551,195198,202399,205955,210482,215268,215878,213326,200748,219739,242951,258815,256203,261018,336190,305799,286766
72,Male,146082,218191,208855,199986,190344,188735,188453,190404,188691,185725,188619,191897,194064,192798,189534,189324,196974,200678,205043,210306,210743,208210,196033,214787,237729,253538,250823,255554,329666,299409
73,Male,133355,139699,207521,199106,190747,181587,180301,180406,182328,180903,178649,181466,184709,187068,186380,183274,183727,191519,195002,199612,204846,205492,202883,191355,209777,232113,247530,245020,249941,321844
74,Male,142501,126261,133032,196098,189017,181100,172798,171841,171980,173877,173347,171154,173905,177346,180201,179695,177131,178003,185674,189149,193751,199403,199948,197747,186225,204353,226153,241234,239106,243321
75,Male,144722,134096,119018,125915,184904,178728,171323,163777,162843,163238,165622,165258,163385,166314,170327,173077,173180,170751,171994,179778,183057,187953,193453,194301,191900,180829,198416,219625,234760,231914
76,Male,142647,135499,125741,111354,119014,173377,168285,161797,154628,153875,154920,157080,156858,155486,158593,162894,165914,166362,164076,165735,173479,176899,181474,187466,187969,185826,175091,192021,212840,226838
77,Male,134293,132433,125512,116891,103859,111948,161732,158048,151793,145232,145303,145953,148230,148367,147594,150991,155321,158531,159196,157163,159253,166896,170323,175147,180530,181256,179249,168807,185570,204712
