year,sex,Aged under 1 year,Aged 1 - 4 years,Aged 5 - 9 years,Aged 10 - 14 years,Aged 15 - 19 years,Aged 20 - 24 years,Aged 25 - 29 years,Aged 30 - 34 years,Aged 35 - 39 years,Aged 40 - 44 years,Aged 45 - 49 years,Aged 50 - 54 years,Aged 55 - 59 years,Aged 60 - 64 years,Aged 65 - 69 years,Aged 70 - 74 years,Aged 75 - 79 years,Aged 80 - 84 years,Aged 85 and over
1981,m,324500,1217600,1642000,1996600,2114400,1896400,1700100,1869100,1606000,1418000,1370000,1393800,1414500,1226800,1124400,895400,564600,260000,126000
1982,m,317700,1252200,1556900,1941800,2127800,1926800,1700100,1763500,1731500,1418700,1369500,1382200,1383100,1277700,1090000,899700,578000,274200,128300
1983,m,319100,1278200,1499900,1882500,2111900,1976000,1718100,1710600,1796000,1443200,1383300,1367500,1363800,1335900,1030800,903800,592100,289400,131100
1984,m,318400,1283700,1495600,1804000,2063600,2043300,1757300,1689300,1827000,1484900,1399000,1351100,1348400,1382800,981700,908600,605900,304600,135400
1985,m,332000,1278300,1516400,1732400,2016400,2088700,1808200,1675800,1845100,1526500,1405700,1341600,1338600,1334400,1028200,909700,617300,316700,142300
1986,m,335500,1291500,1547000,1646900,1983500,2099200,1863500,1678800,1849500,1588600,1390600,1334000,1328400,1302500,1071500,900300,624100,326400,149500
1987,m,339200,1308400,1583000,1567500,1937500,2101400,1918500,1696700,1755200,1720800,1393100,1333800,1318300,1273900,1119600,873600,633700,337900,158500
1988,m,350000,1327000,1613900,1513600,1883800,2078900,1968600,1717600,1703200,1788300,1418300,1348200,1306000,1258500,1171500,827600,641900,349100,167500
1989,m,346700,1358400,1618800,1509600,1810300,2044600,2020900,1748700,1678300,1816000,1460100,1364000,1293600,1247100,1213600,790900,650600,360500,176800
1990,m,349300,1370900,1626100,1529100,1745600,2006200,2064300,1793200,1663200,1833800,1501000,1370400,1285900,1240600,1173200,836800,654800,368600,183800
1991,m,355700,1385300,1640000,1557600,1667200,1970800,2070800,1848800,1665200,1839300,1562900,1356300,1279700,1233800,1148900,878500,652800,376600,191300
1992,m,355200,1399700,1657500,1590800,1574300,1927100,2071000,1896800,1682700,1743100,1694300,1360700,1283200,1228100,1129300,920600,637900,385500,201700
1993,m,342600,1402700,1685800,1619400,1513600,1874600,2051400,1940300,1706100,1690200,1762700,1386300,1299300,1219100,1117500,965400,606200,395100,214500
1994,m,343000,1398300,1710700,1624300,1503200,1801300,2024000,1985600,1736000,1665400,1791800,1426900,1316700,1210400,1109800,998700,582700,401900,222300
1995,m,332100,1392200,1724700,1633400,1518800,1737300,1994300,2027900,1781900,1650800,1808500,1471100,1324300,1206700,1107100,971300,623000,407900,233100
1996,m,326800,1367900,1747300,1645900,1543600,1658300,1969900,2050200,1833700,1655400,1809800,1534200,1314800,1205000,1105600,953600,659900,407300,240500
1997,m,332900,1340500,1760200,1666600,1576700,1580200,1931900,2063500,1879900,1675700,1723400,1659900,1317800,1212500,1104400,942800,695100,399900,249300
1998,m,323400,1330600,1752200,1698700,1604200,1530300,1886600,2055700,1924200,1703200,1671400,1729000,1343500,1230500,1102600,938600,732400,383100,260500
1999,m,320600,1315100,1747100,1724100,1614500,1530000,1836100,2044200,1974000,1737400,1649700,1760500,1383000,1249900,1098800,937500,755400,376300,269300
2000,m,310700,1302600,1725300,1736600,1624100,1547800,1795600,2027100,2019100,1782700,1636900,1775900,1428700,1259200,1099700,940500,740900,407600,277000
2001,m,301000,1281500,1693700,1759500,1652100,1579200,1741900,2016100,2049700,1831200,1643900,1770900,1492000,1251700,1104900,946800,734100,441300,283000
2002,m,301700,1255000,1680900,1767600,1690300,1612800,1689600,1984600,2074300,1886500,1657600,1693600,1610400,1253000,1115000,950900,731500,468100,284800
2003,m,311800,1238700,1671100,1763400,1723400,1652200,1653500,1950800,2080000,1930900,1691600,1641400,1677000,1276800,1130900,953500,732400,493100,281400
2004,m,322700,1234200,1658800,1759200,1738300,1706300,1653600,1904000,2066500,1973300,1728600,1615500,1705500,1313400,1146900,953500,737600,505700,288500
2005,m,327200,1244200,1642300,1747300,1745800,1750600,1699500,1867000,2053100,2023800,1773900,1606900,1720600,1356000,1155000,959200,746900,503700,311400
2006,m,335600,1264000,1616900,1726300,1777700,1776200,1751200,1814100,2037500,2050300,1826400,1612300,1720800,1415200,1145500,965900,758000,505300,334200
2007,m,346800,1299400,1588700,1718600,1802000,1816500,1810900,1765100,2018300,2069300,1868900,1634700,1638500,1529200,1149700,979300,769200,510200,353800
2008,m,360100,1334900,1575300,1708300,1803300,1833600,1874100,1748500,1987800,2071300,1914000,1670400,1591500,1597900,1177300,1000800,778600,517800,368600
2009,m,357100,1374000,1574300,1696800,1813600,1830100,1885800,1773300,1940000,2068000,1962900,1707500,1574100,1627600,1219600,1021500,785900,527700,382000
2010,m,362300,1406700,1583900,1685500,1811400,1869300,1896000,1807000,1899000,2041500,2009100,1750800,1566200,1647700,1265000,1033300,798200,542300,397500
2011,m,366500,1428800,1614600,1660900,1801400,1924600,1919700,1853000,1845100,2026100,2034500,1798400,1576600,1652700,1324900,1028000,810600,557200,414100
2012,m,374900,1454100,1664400,1627800,1786400,1944100,1919700,1886500,1792700,2003700,2047600,1850100,1602200,1572300,1447300,1038200,827600,572000,431800
2013,m,365000,1475600,1720200,1609900,1769500,1941000,1936300,1922300,1764500,1977600,2047200,1896500,1632700,1533200,1512200,1066400,850700,583600,444900
2014,m,357600,1491200,1765400,1606400,1755900,1949400,1958700,1935200,1778100,1934600,2041800,1945700,1670400,1517800,1540900,1110600,873500,595900,465200
2015,m,357400,1493100,1811100,1620000,1746400,1943100,1986700,1948600,1815300,1898200,2026500,1991000,1718100,1512900,1560500,1153600,884500,607800,480100
2016,m,360200,1486100,1849400,1658100,1726000,1933800,2026900,1966200,1860900,1845300,2023800,2019900,1769500,1526600,1567100,1212200,881800,621300,499800
2017,m,351600,1471300,1885100,1710100,1693700,1919200,2042400,1967400,1901100,1796900,2006500,2036300,1820900,1554000,1491400,1327900,892200,636600,516900
2018,m,343600,1458900,1898500,1768100,1680200,1913600,2040900,1983900,1936700,1769800,1980200,2039400,1866900,1585600,1456000,1389400,918900,655500,529200
2019,m,333800,1444100,1906700,1812200,1677000,1899100,2039700,1996800,1940500,1783900,1936300,2034200,1915500,1621100,1441400,1416800,960200,675200,548200
1981,f,309600,1153900,1554300,1892100,2015400,1847300,1671400,1845800,1579400,1392700,1352800,1415200,1486800,1379900,1365500,1233900,959200,604500,414600
1982,f,302100,1189600,1474000,1844500,2020700,1893300,1677400,1748400,1711000,1394700,1351400,1399600,1446100,1429800,1323400,1233000,972400,623500,427600
