opioid,age,cause,rate,lower,upper
FALSE,18,all_cause,36.28451024,29.53858252,43.03043795
FALSE,19,all_cause,37.96257431,31.28614184,44.63900678
FALSE,20,all_cause,39.76802763,33.14957669,46.38647857
FALSE,21,all_cause,41.71156223,35.13770787,48.28541659
FALSE,22,all_cause,43.80491752,37.26006678,50.34976827
FALSE,23,all_cause,46.06099182,39.5269879,52.59499573
FALSE,24,all_cause,48.49396679,41.94972513,55.03820845
FALSE,25,all_cause,51.11944656,44.54059741,57.69829572
FALSE,26,all_cause,53.95461317,47.31316911,60.59605722
FALSE,27,all_cause,57.0184005,50.28246916,63.75433184
FALSE,28,all_cause,60.33168909,53.46525048,67.1981277
FALSE,29,all_cause,63.91752436,56.88028831,70.95476041
FALSE,30,all_cause,67.80136138,60.54871234,75.05401042
FALSE,31,all_cause,72.01133956,64.49436498,79.52831414
FALSE,32,all_cause,76.57859122,68.74417779,84.41300466
FALSE,33,all_cause,81.53758844,73.32855966,89.74661722
FALSE,34,all_cause,86.92653326,78.2817953,95.57127122
FALSE,35,all_cause,92.78779709,83.642458,101.9331362
FALSE,36,all_cause,99.16841582,89.45384646,108.8829852
FALSE,37,all_cause,106.1206483,95.76445921,116.4768373
FALSE,38,all_cause,113.7026064,102.6285221,124.7766907
FALSE,39,all_cause,121.9789676,110.1065837,133.8513514
FALSE,40,all_cause,131.0217794,118.2661928,143.777366
FALSE,41,all_cause,140.9113711,127.1826687,154.6400735
FALSE,42,all_cause,151.737385,136.9399739,166.534796
FALSE,43,all_cause,163.5999463,147.6316985,179.5681942
FALSE,44,all_cause,176.6109903,159.36216,193.8598206
FALSE,45,all_cause,190.8957685,172.2476272,209.5439099
FALSE,46,all_cause,206.5945616,186.4176704,226.7714528
FALSE,47,all_cause,223.8646267,202.0166412,245.7126123
FALSE,48,all_cause,242.8824152,219.2052845,266.559546
FALSE,49,all_cause,263.8460991,238.1624816,289.5297165
FALSE,50,all_cause,286.9784526,259.0871238,314.8697813
FALSE,51,all_cause,312.5301414,282.2001161,342.8601668
FALSE,52,all_cause,340.7834809,307.746513,373.8204489
FALSE,53,all_cause,372.0567329,335.9977969,408.1156688
FALSE,54,all_cause,406.7090241,367.2543227,446.1637255
FALSE,55,all_cause,445.1459807,401.8479737,488.4439876
FALSE,56,all_cause,487.8261885,440.1451065,535.5072705
FALSE,57,all_cause,535.2686072,482.549891,587.9873234
FALSE,58,all_cause,588.0610873,529.5081932,646.6139814
FALSE,59,all_cause,646.8701619,581.5121601,712.2281638
FALSE,60,all_cause,712.4523159,639.1056753,785.7989566
FALSE,61,all_cause,785.666966,702.890819,868.4431131
FALSE,62,all_cause,867.4914263,773.5354209,961.4474317
FALSE,63,all_cause,959.0381782,851.7817349,1066.294621
FALSE,64,all_cause,1061.574819,938.4562174,1184.693422
FALSE,65,all_cause,1176.547128,1034.48037,1318.613886
TRUE,18,all_cause,409.6197309,365.3805277,453.858934
TRUE,19,all_cause,430.4549736,386.4804493,474.4294979
TRUE,20,all_cause,452.4448244,408.6861203,496.2035285
TRUE,21,all_cause,475.6577216,432.0487156,519.2667277
TRUE,22,all_cause,500.1663962,456.621699,543.7110933
TRUE,23,all_cause,526.0481543,482.4612845,569.6350242
TRUE,24,all_cause,553.3851802,509.6270669,597.1432935
