cause,label,gender,d,e,smr,bs_lower,bs_med,bs_upper,bs_exd_lower,bs_exd_med,bs_exd_upper,trad_pe,trad_lower,trad_upper,exd_pe,d_f,e_f,smr_f,cs_bs,pc,pc_f,exc_f,exc_pc_f,e_pc_f
all_cause,All cause,both,13209,1711.857908,7.716177808,7.467287254,7.7140339,7.96689643,11258.06228,11495.18837,11725.06785,7.716177808,7.585144252,7.848907077,11497.14209,"13,209","1,711.9",  7.72,(7.47-7.97),1,(100.0),"11,497.1",(100.0),(100.0)
all_cause,All cause,male,9744,1297.744453,7.508411981,7.236298004,7.497268934,7.783461591,8253.335282,8439.346483,8628.694571,7.508411981,7.360060361,7.659001498,8446.255547,"9,744","1,297.7",  7.51,(7.24-7.78),0.737678855325914,(73.8),"8,446.3",(73.5),(75.8)
all_cause,All cause,female,3465,414.1134549,8.367272202,7.864636976,8.387980634,8.904988447,2942.42048,3051.411545,3171.421129,8.367272202,8.090966867,8.650606803,3050.886545,"3,465",  414.1,  8.37,(7.86-8.90),0.262321144674086,(26.2),"3,050.9",(26.5),(24.2)
drug_related,Drug-related,both,4375,84.0226923,52.06926701,46.42906704,52.16797017,59.48148136,4153.781992,4287.066928,4417.73033,52.06926701,50.53766059,53.6354961,4290.977308,"4,375",   84.0, 52.07,(46.43-59.48),0.331213566507684,(33.1),"4,291.0",(37.3),(4.9)
drug_related,Drug-related,male,3404,66.81283286,50.94829622,44.40958943,50.87491286,58.60661288,3222.956906,3336.413998,3451.873374,50.94829622,49.2509923,52.68917055,3337.187167,"3,404",   66.8, 50.95,(44.41-58.61),0.257703081232493,(25.8),"3,337.2",(29.0),(3.9)
drug_related,Drug-related,female,971,17.20985944,56.42114645,44.07793609,56.88173979,76.13819488,893.012578,952.825269,1010.383159,56.42114645,52.92770778,60.08458125,953.7901406,971,   17.2, 56.42,(44.08-76.14),0.0735104852751912,(7.4),953.8,(8.3),(1.0)
non_drd,Non-drug-related,both,8834,1627.835216,5.426839225,5.242248579,5.420137587,5.609519514,7018.657215,7198.239613,7389.814001,5.426839225,5.314256092,5.541206762,7206.164784,"8,834","1,627.8",  5.43,(5.24-5.61),0.668786433492316,(66.9),"7,206.2",(62.7),(95.1)
non_drd,Non-drug-related,male,6340,1230.93162,5.150570426,4.955455695,5.147051006,5.338619376,4952.594009,5105.391316,5252.684944,5.150570426,5.024559284,5.278942863,5109.06838,"6,340","1,230.9",  5.15,(4.96-5.34),0.479975774093421,(48.0),"5,109.1",(44.4),(71.9)
non_drd,Non-drug-related,female,2494,396.9035955,6.283641741,5.906207448,6.296898764,6.711313254,1998.056413,2097.471646,2193.912068,6.283641741,6.039426362,6.535198634,2097.096404,"2,494",  396.9,  6.28,(5.91-6.71),0.188810659398895,(18.9),"2,097.1",(18.2),(23.2)
INFECTIONS,I: INFECTIONS,both,485,25.0500106,19.36126925,15.6906313,19.48515003,24.92992917,419.3050721,461.7034398,503.8645624,19.36126925,17.67628347,21.16356073,459.9499894,485,   25.1, 19.36,(15.69-24.93),0.0367173896585661,(3.7),459.9,(4.0),(1.5)
INFECTIONS,I: INFECTIONS,male,379,17.35778901,21.83457812,17.03325828,21.71042005,29.18960105,321.8472256,362.1655823,399.7074607,21.83457812,19.69141201,24.14736626,361.642211,379,   17.4, 21.83,(17.03-29.19),0.0286925581043228,(2.9),361.6,(3.1),(1.0)
INFECTIONS,I: INFECTIONS,female,106,7.692221596,13.78015423,9.394801116,13.85338364,22.18727873,78.4806134,98.33174543,118.6365819,13.78015423,11.28206119,16.66669959,98.3077784,106,    7.7, 13.78,(9.39-22.19),0.00802483155424332,(0.8),98.3,(0.9),(0.4)
hiv,HIV,both,65,3.903207471,16.65297079,9.467571696,16.93878424,34.87268042,45.34898845,60.87020659,78.29137569,16.65297079,12.85241128,21.2255783,61.09679253,65,    3.9, 16.65,(9.47-34.87),0.00492088727382845,(0.5),61.1,(0.5),(0.2)
hiv,HIV,male,48,3.255154455,14.74584406,8.185149098,14.76578807,36.42652829,31.19805492,44.5263089,58.8703921,14.74584406,10.87242136,19.55084991,44.74484554,48,    3.3, 14.75,(8.19-36.43),0.00363388598682716,(0.4),44.7,(0.4),(0.2)
hiv,HIV,female,17,0.648053016,26.2324217,8.532046787,27.50884075,Inf,8.377264684,16,24.36277458,26.2324217,15.28135234,42.00064832,16.35194698,17,    0.6, 26.23,(8.53-Inf),0.00128700128700129,(0.1),16.4,(0.1),(0.0)
viral_hep,Viral hepatitis,both,303,2.927620129,103.497034,61.74385788,104.1455349,242.6397988,267.0753888,299.9821139,330.7299945,103.497034,92.17039806,115.831357,300.0723799,303,    2.9,103.50,(61.74-242.64),0.0229389052918465,(2.3),300.1,(2.6),(0.2)
viral_hep,Viral hepatitis,male,241,2.927620129,82.31942307,48.24863057,82.14020907,188.3515164,208.1859367,236.6800746,271.2646003,82.31942307,72.25360707,93.39521462,238.0723799,241,    2.9, 82.32,(48.25-188.35),0.0182451358921947,(1.8),238.1,(2.1),(0.2)
