opioid,period,cause,rate,lower,upper
FALSE,2001,all_cause,224.9555951,188.7659138,261.1452763
FALSE,2004,all_cause,209.6612832,183.1656825,236.1568838
FALSE,2007,all_cause,202.3306281,180.424584,224.2366722
FALSE,2010,all_cause,182.5678425,164.5103754,200.6253096
FALSE,2013,all_cause,179.4469259,162.7351678,196.1586841
FALSE,2016,all_cause,162.2916579,147.3006479,177.282668
TRUE,2001,all_cause,1335.285651,1196.457396,1474.113906
TRUE,2004,all_cause,1433.617442,1309.072747,1558.162137
TRUE,2007,all_cause,1434.814068,1323.451559,1546.176578
TRUE,2010,all_cause,1273.287549,1179.109017,1367.46608
TRUE,2013,all_cause,1397.491591,1299.390514,1495.592669
TRUE,2016,all_cause,1383.003564,1286.679818,1479.327311
FALSE,2001,drd,12.23449364,4.454975329,20.01401194
FALSE,2004,drd,10.74263968,5.273824862,16.2114545
FALSE,2007,drd,12.10062646,7.111526318,17.08972659
FALSE,2010,drd,8.894897508,5.372026217,12.4177688
FALSE,2013,drd,6.666574215,3.923774049,9.409374381
FALSE,2016,drd,7.321180941,4.387713363,10.25464852
TRUE,2001,drd,408.9711305,338.2246255,479.7176354
TRUE,2004,drd,464.3354068,396.0759217,532.5948919
TRUE,2007,drd,426.0631649,368.0038426,484.1224871
TRUE,2010,drd,344.924514,298.7859873,391.0630407
TRUE,2013,drd,489.5045866,428.813177,550.1959961
TRUE,2016,drd,533.8514657,468.0173211,599.6856103
FALSE,2001,cvd,59.16564198,37.29483767,81.0364463
FALSE,2004,cvd,42.4603911,29.16702512,55.75375708
FALSE,2007,cvd,41.66246636,30.69405483,52.6308779
FALSE,2010,cvd,36.06394235,27.324277,44.8036077
FALSE,2013,cvd,32.77242352,25.27912982,40.26571721
FALSE,2016,cvd,26.07529002,20.10191392,32.04866611
TRUE,2001,cvd,125.0439639,76.83251077,173.2554171
TRUE,2004,cvd,128.4367796,90.33526244,166.5382967
TRUE,2007,cvd,133.9132051,99.79593013,168.0304801
TRUE,2010,cvd,105.9832204,80.46295002,131.5034908
TRUE,2013,cvd,126.3030529,98.28206846,154.3240373
TRUE,2016,cvd,112.285262,87.52764172,137.0428822
FALSE,2001,copd,7.958113124,-1.211112478,17.12733873
FALSE,2004,copd,4.930515876,0.794807569,9.066224183
FALSE,2007,copd,4.04279291,1.216052488,6.869533331
FALSE,2010,copd,4.099469827,1.677439903,6.521499752
FALSE,2013,copd,4.300073511,2.092589324,6.507557697
FALSE,2016,copd,5.691287401,2.976769901,8.405804901
TRUE,2001,copd,43.01701247,12.89972853,73.13429641
TRUE,2004,copd,50.61936255,26.47263847,74.76608662
TRUE,2007,copd,61.99000869,38.49247788,85.48753949
TRUE,2010,copd,60.0327783,39.78427644,80.28128016
TRUE,2013,copd,76.06549913,52.79619171,99.33480655
TRUE,2016,copd,79.26654951,55.77716757,102.7559314
FALSE,2001,other_resp,12.85824792,3.47998912,22.23650673
FALSE,2004,other_resp,9.112360909,3.385321659,14.83940016
FALSE,2007,other_resp,8.253179982,3.940770383,12.56558958
FALSE,2010,other_resp,5.471559052,2.681131887,8.261986216
FALSE,2013,other_resp,7.844586238,4.379715876,11.3094566
FALSE,2016,other_resp,7.474352011,4.203622766,10.74508126
TRUE,2001,other_resp,41.9020239,16.40147526,67.40257254
TRUE,2004,other_resp,50.15413147,27.5015197,72.80674324
TRUE,2007,other_resp,70.72042622,44.58444537,96.85640708
TRUE,2010,other_resp,59.33302544,38.35527898,80.31077189
TRUE,2013,other_resp,50.88979345,33.3266809,68.452906
TRUE,2016,other_resp,64.28510313,43.02055555,85.54965071
FALSE,2001,respiratory_cancer,31.26515176,11.3303905,51.19991302
FALSE,2004,respiratory_cancer,21.77127248,11.00262273,32.53992224
FALSE,2007,respiratory_cancer,14.16848759,7.939784061,20.39719113
FALSE,2010,respiratory_cancer,12.36709099,7.543645572,17.19053641
FALSE,2013,respiratory_cancer,11.00547442,6.985327698,15.02562114
FALSE,2016,respiratory_cancer,9.226939227,5.905642458,12.548236
TRUE,2001,respiratory_cancer,87.70980809,45.22837553,130.1912406
TRUE,2004,respiratory_cancer,74.13000144,41.90609694,106.3539059
TRUE,2007,respiratory_cancer,62.94089441,39.40063027,86.48115855
TRUE,2010,respiratory_cancer,54.38551485,35.63860414,73.13242555
TRUE,2013,respiratory_cancer,56.92138527,38.60805814,75.23471239
TRUE,2016,respiratory_cancer,51.33217236,35.06623018,67.59811454
FALSE,2001,other_cancers,71.13764921,46.8753944,95.39990402
FALSE,2004,other_cancers,54.05066327,39.14474303,68.95658351
FALSE,2007,other_cancers,45.48191595,34.55966707,56.40416484
FALSE,2010,other_cancers,47.6032814,37.63106714,57.57549566
FALSE,2013,other_cancers,45.54371538,36.54634986,54.54108089
FALSE,2016,other_cancers,41.43965863,33.41288312,49.46643414
TRUE,2001,other_cancers,141.7301423,98.41776221,185.0425224
TRUE,2004,other_cancers,165.3029574,121.2201749,209.38574
TRUE,2007,other_cancers,146.840247,111.9722427,181.7082513
TRUE,2010,other_cancers,129.1978896,100.0588877,158.3368915
TRUE,2013,other_cancers,117.2978711,91.80230139,142.7934408
TRUE,2016,other_cancers,108.0409518,84.81424876,131.2676549
FALSE,2001,liver,22.11476585,10.06385386,34.16567785
FALSE,2004,liver,11.95078119,6.167517509,17.73404487
FALSE,2007,liver,16.91690813,10.62629694,23.20751932
FALSE,2010,liver,14.62913684,9.680047889,19.5782258
FALSE,2013,liver,15.68321226,10.79357957,20.57284494
FALSE,2016,liver,12.68146241,8.675592474,16.68733234
TRUE,2001,liver,87.52245676,51.6463212,123.3985923
TRUE,2004,liver,103.2467015,71.63183988,134.8615631
TRUE,2007,liver,150.1809034,113.6693601,186.6924466
TRUE,2010,liver,183.7309779,143.3889393,224.0730165
TRUE,2013,liver,128.0448164,99.75408434,156.3355485
