survey_year,cause,rate,lower,upper
2001,drd,394.9922703,337.2518579,452.7326827
2001,external,137.2690723,104.8434665,169.694678
2001,cvd,35.86266506,24.80736717,46.91796294
2001,copd,12.06572383,5.738824622,18.39262303
2001,other_resp,24.21497517,13.52640516,34.90354518
2001,respiratory_cancer,9.724958692,5.907737954,13.54217943
2001,other_cancers,38.5514321,27.46541018,49.63745402
2001,liver,50.46805005,36.38298184,64.55311827
2001,other,104.9967185,81.36545985,128.6279772
2002,drd,407.0880459,349.9153695,464.2607223
2002,external,138.0728636,106.3402042,169.805523
2002,cvd,42.28980183,30.12053709,54.45906656
2002,copd,14.13662398,7.392454567,20.8807934
2002,other_resp,27.45450639,16.07620268,38.83281011
2002,respiratory_cancer,12.29985763,7.529532002,17.07018326
2002,other_cancers,45.20583894,32.99969014,57.41198773
2002,liver,61.54727865,45.56070944,77.53384786
2002,other,116.0289009,91.39204409,140.6657576
2003,drd,410.0620991,352.7083715,467.4158267
2003,external,138.1858585,106.4882898,169.8834273
2003,cvd,48.43692669,34.92576226,61.94809113
2003,copd,18.82352085,10.66477049,26.98227122
2003,other_resp,29.95677658,17.80657377,42.10697939
2003,respiratory_cancer,16.71492923,10.47016376,22.95969471
2003,other_cancers,52.83457157,39.05538753,66.61375561
2003,liver,66.54478478,49.50470402,83.58486554
2003,other,123.052934,97.30906858,148.7967995
2004,drd,409.3047404,351.9696403,466.6398406
2004,external,137.9828061,106.2958232,169.6697891
2004,cvd,43.96578106,31.43350356,56.49805857
2004,copd,15.39384075,8.290919194,22.4967623
2004,other_resp,28.17378949,16.57796995,39.76960902
2004,respiratory_cancer,13.27274766,8.176538548,18.36895678
2004,other_cancers,47.12277619,34.52235955,59.72319284
2004,liver,63.08634623,46.79719053,79.37550192
2004,other,118.4806343,93.47218418,143.4890845
2005,drd,412.6799142,355.5403739,469.8194546
2005,external,137.9131355,106.4947653,169.3315056
2005,cvd,47.27387265,34.09100232,60.45674299
2005,copd,17.43987347,9.820360162,25.05938678
2005,other_resp,29.71785563,17.72398392,41.71172735
2005,respiratory_cancer,15.40755552,9.587962964,21.22714808
2005,other_cancers,50.96900519,37.63954175,64.29846863
2005,liver,66.53589556,49.61870112,83.45309001
2005,other,122.7048434,97.22406847,148.1856183
2006,drd,413.9318786,356.7700603,471.0936969
2006,external,138.0480642,106.6537056,169.4424228
2006,cvd,46.86211885,33.79386631,59.93037139
2006,copd,16.72109683,9.328323759,24.11386991
2006,other_resp,29.53938108,17.6250906,41.45367156
2006,respiratory_cancer,14.70723085,9.110936991,20.30352471
2006,other_cancers,50.26853747,37.10388191,63.43319304
2006,liver,66.96858381,50.00692028,83.93024733
2006,other,122.9286442,97.47157811,148.3857103
2007,drd,412.3333194,355.2926099,469.374029
2007,external,137.6882923,106.3453176,169.0312671
2007,cvd,45.21184649,32.4900164,57.93367657
2007,copd,15.80946027,8.73415181,22.88476874
2007,other_resp,28.80598006,17.10369695,40.50826317
2007,respiratory_cancer,13.81557562,8.529562092,19.10158914
2007,other_cancers,48.59201583,35.76474255,61.4192891
2007,liver,64.65451899,48.15028221,81.15875577
2007,other,120.4768081,95.38646844,145.5671477
2008,drd,420.2830647,363.0775295,477.4885999
2008,external,138.2544956,107.1002362,169.4087549
2008,cvd,48.74624545,35.37082663,62.12166427
2008,copd,17.02557122,9.613294665,24.43784777
2008,other_resp,30.6959899,18.53993108,42.85204873
2008,respiratory_cancer,15.00743697,9.282770849,20.73210309
2008,other_cancers,51.3835864,38.0727885,64.6943843
2008,liver,71.02660717,53.39798465,88.65522969
2008,other,127.1650944,101.3013683,153.0288206
2009,drd,424.2793347,366.7830057,481.7756636
2009,external,138.871455,107.6518723,170.0910378
2009,cvd,56.57734342,41.50366313,71.65102372
2009,copd,22.44765568,13.33284725,31.5624641
2009,other_resp,33.74411999,20.65532019,46.8329198
2009,respiratory_cancer,20.19067076,12.71348455,27.66785697
2009,other_cancers,61.40477636,46.03836666,76.77118606
2009,liver,78.84050248,59.59291967,98.08808529
2009,other,137.0062131,109.6003927,164.4120336
2010,drd,431.4959235,374.0050406,488.9868063
2010,external,139.4770899,108.4866111,170.4675686
2010,cvd,58.0473926,42.79231704,73.30246817
2010,copd,21.87216594,12.98766006,30.75667181
2010,other_resp,34.72553898,21.48337835,47.96769961
2010,respiratory_cancer,19.81116899,12.41553212,27.20680585
2010,other_cancers,61.6182982,46.32026538,76.91633101
2010,liver,83.44528919,63.46149362,103.4290848
2010,other,141.1509563,113.4269767,168.874936
2011,drd,436.6426456,379.2220335,494.0632577
2011,external,139.733171,108.9724918,170.4938502
2011,cvd,63.80426828,47.36673551,80.24180104
2011,copd,25.80391925,15.79165674,35.81618176
2011,other_resp,37.34435283,23.3767644,51.31194127
2011,respiratory_cancer,23.52878054,14.8608131,32.19674798
2011,other_cancers,68.27757023,51.67027539,84.88486508
2011,liver,89.48588272,68.33593578,110.6358296
2011,other,148.5500755,119.8577186,177.2424324
2012,drd,438.211819,380.7375521,495.6860859
2012,external,139.7054944,109.0022855,170.4087032
2012,cvd,62.10499705,46.08172452,78.12826959
2012,copd,23.62706487,14.32040858,32.93372115
2012,other_resp,36.7529914,23.01122291,50.49475989
2012,respiratory_cancer,21.71962844,13.66842409,29.77083279
2012,other_cancers,65.32754963,49.35931436,81.2957849
2012,liver,89.48307896,68.43469818,110.5314597
2012,other,147.8963978,119.400531,176.3922646
2013,drd,442.0187574,384.7434315,499.2940834
2013,external,139.8762418,109.4181522,170.3343314
2013,cvd,69.02842431,51.55550746,86.50134117
2013,copd,28.70042013,17.93250322,39.46833704
2013,other_resp,39.72123687,25.1312031,54.31127063
2013,respiratory_cancer,26.69261505,16.95883003,36.42640007
2013,other_cancers,73.92800849,56.24429393,91.61172304
2013,liver,95.4728695,73.22191108,117.7238279
2013,other,155.6134033,126.0711513,185.1556553
2014,drd,449.2383087,391.4279738,507.0486436
2014,external,140.8214255,110.2770923,171.3657587
2014,cvd,71.80420933,53.82215377,89.7862649
2014,copd,28.20049334,17.54580248,38.8551842
2014,other_resp,40.89012529,26.03085888,55.74939171
2014,respiratory_cancer,26.63888463,16.90868177,36.36908749
2014,other_cancers,75.77951258,57.78150708,93.77751808
2014,liver,103.1130149,79.50113406,126.7248958
2014,other,163.1685443,132.6129109,193.7241777
2015,drd,455.3559857,397.0708677,513.6411036
2015,external,141.3015178,110.737791,171.8652446
2015,cvd,84.51582848,63.75269668,105.2789603
2015,copd,37.50613215,24.02187727,50.99038703
2015,other_resp,45.70866825,29.34739219,62.06994432
2015,respiratory_cancer,35.43203153,22.7621649,48.10189815
2015,other_cancers,91.94031204,70.60690467,113.2737194
2015,liver,113.5686996,87.74280081,139.3945983
2015,other,177.9429922,145.0315057,210.8544788
2016,drd,462.6702959,404.3073109,521.033281
2016,external,141.9647596,111.5892509,172.3402682
2016,cvd,89.59044757,67.84303571,111.3378594
2016,copd,39.57646407,25.51838128,53.63454686
2016,other_resp,47.9729046,31.0402196,64.9055896
2016,respiratory_cancer,37.64822435,24.19979049,51.09665821
2016,other_cancers,97.301669,74.96408226,119.6392557
2016,liver,121.7000465,94.38908268,149.0110103
2016,other,186.7204968,152.7169181,220.7240755
2017,drd,464.6126588,405.7130126,523.5123051
2017,external,142.3656005,111.7544581,172.9767429
2017,cvd,96.63572988,73.28470492,119.9867548
2017,copd,45.28726514,29.40826719,61.16626308
2017,other_resp,50.69387208,32.84748865,68.54025551
