exposure,ag,gender,deaths,years_fu
TRUE,45,male,393,22189.77413
TRUE,44,male,385,23884.43806
TRUE,39,male,358,29282.88843
TRUE,42,male,356,26508.83778
TRUE,41,male,354,27486.79261
TRUE,40,male,353,28556.64887
TRUE,38,male,347,29787.154
TRUE,48,male,343,17204.3258
TRUE,46,male,339,20547.50171
TRUE,47,male,338,18831.13758
TRUE,43,male,328,25290.25599
TRUE,37,male,318,29909.52225
TRUE,49,male,311,15515.6386
TRUE,50,male,301,13952.65982
TRUE,51,male,296,12355.86311
TRUE,52,male,273,10954.87201
TRUE,36,male,258,29444.01369
TRUE,34,male,245,26730.05065
TRUE,54,male,242,8351.879535
TRUE,35,male,237,28229.10609
TRUE,53,male,221,9574.631075
TRUE,55,male,196,7190.622861
TRUE,56,male,191,6214.839151
TRUE,33,male,189,24988.36413
TRUE,32,male,188,22988.53114
TRUE,60,male,174,3595.15948
TRUE,57,male,172,5367.92334
FALSE,47,male,158,62996.91444
TRUE,58,male,157,4649.253936
TRUE,59,male,157,4072.982888
FALSE,49,male,154,52176.71732
FALSE,46,male,151,68491.67146
TRUE,31,male,145,20802.73238
FALSE,42,male,144,85251.32923
FALSE,48,male,143,57673.62902
FALSE,50,male,141,47243.5373
FALSE,44,male,138,78225.15264
FALSE,45,male,136,73607.14853
FALSE,51,male,136,42563.32101
TRUE,61,male,136,3118.822724
FALSE,43,male,133,81904.30938
TRUE,30,male,133,18579.154
FALSE,55,male,132,25640.75565
TRUE,40,female,132,10837.47023
TRUE,62,male,132,2736.876112
FALSE,54,male,131,29268.87611
TRUE,39,female,127,11334.23409
TRUE,48,female,123,6466.852841
FALSE,56,male,122,22416.14511
TRUE,46,female,121,7553.086927
TRUE,63,male,121,2385.141684
FALSE,53,male,120,33386.47502
TRUE,37,female,118,12101.62355
TRUE,64,male,117,2088.566735
TRUE,38,female,116,11807.69336
TRUE,41,female,115,10289.78234
TRUE,47,female,115,6990.340862
FALSE,52,male,113,38022.52977
TRUE,28,male,112,14157.05955
TRUE,45,female,111,8117.201916
FALSE,57,male,110,19516.20808
FALSE,62,male,110,10568.67077
TRUE,42,female,110,9758.379192
TRUE,50,female,109,5447.373032
FALSE,39,male,108,91164.36413
FALSE,63,male,107,9293.568789
TRUE,44,female,106,8639.531828
TRUE,36,female,105,12191.87406
TRUE,29,male,102,16389.82615
FALSE,41,male,101,87630.00137
FALSE,40,male,100,89883.86311
FALSE,58,male,100,17116.45722
TRUE,51,female,100,4952.068446
TRUE,35,female,96,12116.2026
FALSE,37,male,95,91619.17043
TRUE,43,female,94,9187.000684
FALSE,61,male,93,11890.02327
FALSE,65,male,93,6971.753593
FALSE,60,male,92,13451.91239
TRUE,54,female,90,3524.490075
TRUE,27,male,89,11906.46954
TRUE,49,female,89,5937.415469
TRUE,52,female,88,4484.027379
TRUE,53,female,88,3979.874059
FALSE,38,male,86,92075.62218
FALSE,59,male,84,15124.43532
TRUE,34,female,84,11943.47159
FALSE,64,male,80,8135.104723
TRUE,65,male,79,1740.147844
FALSE,35,male,78,86146.30253
TRUE,26,male,77,9765.500342
TRUE,33,female,76,11466.81451
FALSE,34,male,74,81614.90212
FALSE,66,male,73,5909.817933
TRUE,56,female,73,2823.816564
TRUE,55,female,72,3136.375086
FALSE,67,male,71,4920.128679
FALSE,36,male,70,89809.91376
TRUE,57,female,69,2512.610541
TRUE,25,male,68,7792.821355
TRUE,61,female,65,1675.56742
TRUE,60,female,63,1869.932923
FALSE,33,male,61,76109.77687
TRUE,32,female,59,10920.846
TRUE,59,female,56,2069.760438
FALSE,70,male,54,2513.7577
FALSE,31,male,53,63273.85079
TRUE,64,female,52,1345.215606
FALSE,32,male,51,70034.86379
TRUE,30,female,51,9429.615332
TRUE,62,female,51,1530.017796
TRUE,65,female,51,1173.054073
FALSE,68,male,50,4006.335387
TRUE,31,female,50,10218.73238
FALSE,50,female,49,18097.08966
FALSE,69,male,49,3188.084873
TRUE,58,female,49,2270.913073
TRUE,66,male,47,1414.543463
FALSE,54,female,44,12142.28337
FALSE,58,female,43,7948.851472
FALSE,60,female,43,6601.32512
TRUE,63,female,43,1421.806982
TRUE,67,male,43,1137.842574
FALSE,44,female,42,28258.31075
FALSE,61,female,42,6071.906913
FALSE,30,male,41,56494.94045
FALSE,63,female,41,5146.053388
FALSE,52,female,40,15047.96441
FALSE,59,female,40,7239.739904
FALSE,45,female,39,26461.46475
TRUE,29,female,39,8660.424367
FALSE,71,male,38,1876.383299
TRUE,23,male,38,4457.475702
TRUE,68,male,38,907.8384668
FALSE,56,female,37,9747.531828
FALSE,67,female,37,3149.185489
FALSE,49,female,36,19734.41205
TRUE,69,male,36,708.0273785
FALSE,39,female,35,35277.63723
FALSE,64,female,35,4645.691992
FALSE,53,female,34,13576.20534
FALSE,57,female,34,8754.324435
FALSE,62,female,34,5640.813142
TRUE,28,female,34,7774.507871
FALSE,55,female,33,10847.27995
FALSE,68,female,33,2666.097194
FALSE,29,male,32,49781.18823
TRUE,24,male,32,6049.322382
TRUE,67,female,32,816.6132786
FALSE,38,female,31,36455.03628
FALSE,42,female,31,31266.8501
FALSE,46,female,31,24908.62697
FALSE,47,female,31,23214.2642
FALSE,51,female,31,16572.57495
FALSE,37,female,30,37254.95414
FALSE,43,female,30,29852.84873
TRUE,70,male,30,548.6516085
FALSE,26,male,29,29953.28953
FALSE,28,male,29,43036.61054
FALSE,66,female,29,3654.401095
FALSE,72,male,29,1403.559206
FALSE,48,female,28,21518.17112
FALSE,27,male,27,36300.31759
FALSE,41,female,27,32640.3258
TRUE,66,female,27,975.247091
FALSE,65,female,26,4143.813826
TRUE,26,female,24,5753.87269
FALSE,40,female,23,34021.34428
FALSE,74,male,22,831.7809719
FALSE,75,male,22,620.7583847
TRUE,22,male,22,3122.737851
TRUE,69,female,22,541.5496235
FALSE,35,female,21,36823.28268
TRUE,21,male,21,2026.272416
TRUE,70,female,21,436.843258
FALSE,70,female,20,1825.44011
FALSE,73,female,20,960.991102
FALSE,80,female,20,358.7378508
TRUE,71,male,20,420.1177276
FALSE,69,female,19,2206.86653
FALSE,36,female,18,37452.19986
FALSE,71,female,18,1492.167009
FALSE,25,male,17,24114.28063
FALSE,73,male,17,1082.294319
TRUE,27,female,17,6745.976728
TRUE,68,female,17,669.7029432
TRUE,72,male,17,329.0513347
FALSE,24,male,16,18917.6783
FALSE,31,female,16,30819.89596
FALSE,80,male,16,218.2422998
TRUE,23,female,16,2947.293634
FALSE,34,female,15,35941.53593
FALSE,76,male,15,434.2313484
TRUE,25,female,15,4732.919918
TRUE,74,male,15,177.3086927
FALSE,76,female,14,419.5728953
FALSE,33,female,13,34629.9165
TRUE,24,female,13,3821.664613
FALSE,32,female,12,32990.60917
FALSE,72,female,12,1200.062971
FALSE,75,female,12,560.3997262
TRUE,73,male,12,252.2299795
FALSE,77,male,11,308.5147159
FALSE,30,female,10,28467.57016
TRUE,72,female,10,281.8644764
TRUE,76,male,10,86.52156057
FALSE,27,female,9,20073.59069
FALSE,74,female,9,748.7173169
TRUE,71,female,9,367.6030116
TRUE,73,female,9,215.652293
FALSE,29,female,8,25807.84394
FALSE,78,female,8,239.2060233
TRUE,20,male,8,1155.041752
TRUE,22,female,8,2167.622177
TRUE,75,male,8,129.7494867
FALSE,28,female,7,23046.26146
FALSE,79,male,7,154.5954825
TRUE,74,female,7,159.6194387
FALSE,20,male,6,4569.724846
FALSE,22,male,6,10461.44559
FALSE,23,male,6,14311.15674
FALSE,24,female,6,11602.32717
FALSE,77,female,6,318.1848049
TRUE,21,female,6,1449.322382
TRUE,77,male,6,60.41889117
FALSE,79,female,4,177.8151951
TRUE,20,female,4,875.0390144
TRUE,75,female,4,126.2094456
TRUE,79,female,4,39.65776865
FALSE,21,male,3,7216.569473
FALSE,26,female,3,17186.82272
TRUE,19,male,3,508.6132786
TRUE,76,female,3,91.70157426
TRUE,78,female,3,51.79739904
TRUE,79,male,3,27.59206023
TRUE,80,female,3,74.67488022
FALSE,22,female,2,6753.924709
FALSE,78,male,2,219.8302533
TRUE,78,male,2,38.78986995
TRUE,80,male,2,33.2019165
FALSE,17,male,1,599.2553046
FALSE,18,female,1,1045.106092
FALSE,18,male,1,1381.645448
FALSE,19,male,1,2676.865161
FALSE,20,female,1,3065.57974
FALSE,23,female,1,9028.279261
FALSE,25,female,1,14313.3525
TRUE,77,female,1,64.98015058
FALSE,15,female,0,17.83436003
FALSE,15,male,0,23.57563313
FALSE,16,female,0,140.8104038
FALSE,16,male,0,182.9240246
FALSE,17,female,0,466.8199863
FALSE,19,female,0,1843.641342
FALSE,21,female,0,4752.856947
TRUE,18,female,0,93.71115674
TRUE,18,male,0,123.9206023
TRUE,19,female,0,416.1615332
