exposure,age_group,gender,years_fu,respiratory,liver,drd,cancers,other,external,cvd,total
FALSE,15-17,female,625.464750171116,0,0,0,0,0,0,0,0
FALSE,15-17,male,805.754962354552,0,0,0,0,0,1,0,1
FALSE,18-19,female,38091.7152635181,2,0,2,2,3,2,0,11
FALSE,18-19,male,59535.0855578371,1,0,6,1,11,18,2,39
FALSE,25-29,female,100427.871321013,1,1,3,10,6,7,0,28
FALSE,25-29,male,183185.686516085,2,0,14,15,41,55,7,134
FALSE,30-34,female,162849.527720739,3,7,6,19,15,10,6,66
FALSE,30-34,male,347528.334017796,13,25,43,39,47,96,17,280
FALSE,35-39,female,183263.110198494,7,11,16,42,23,9,27,135
FALSE,35-39,male,450815.37303217,15,30,56,67,81,119,69,437
FALSE,40-44,female,156039.679671458,3,13,8,77,22,9,21,153
FALSE,40-44,male,422894.655715264,33,70,48,123,134,103,105,616
FALSE,45-49,female,115836.93908282,14,13,7,68,31,14,18,165
FALSE,45-49,male,314946.080766598,37,107,24,194,135,82,163,742
FALSE,50-54,female,75436.1177275839,16,19,7,94,31,4,27,198
FALSE,50-54,male,190484.739219713,25,66,9,211,114,64,152,641
FALSE,55-59,female,44537.7275838467,12,11,3,98,31,11,21,187
FALSE,55-59,male,99814.0013689254,44,38,6,227,59,35,139,548
FALSE,60-64,female,28105.7905544148,25,11,1,100,23,5,30,195
FALSE,60-64,male,53339.279945243,58,28,3,208,52,14,119,482
FALSE,65-69,female,15820.3641341547,18,0,2,77,21,3,23,144
FALSE,65-69,male,24996.1204654346,46,13,3,132,59,6,77,336
FALSE,70-74,female,6227.37850787132,12,1,0,33,17,1,15,79
FALSE,70-74,male,7707.77549623546,16,3,0,67,29,1,44,160
FALSE,75-79,female,1715.17864476386,5,0,0,17,7,2,13,44
FALSE,75-79,male,1737.93018480493,11,0,0,23,8,0,15,57
FALSE,80-84,female,358.737850787132,5,1,0,10,2,0,2,20
FALSE,80-84,male,218.242299794661,3,1,0,3,5,0,4,16
TRUE,18-19,female,11770.8145106092,2,2,19,5,2,16,1,47
TRUE,18-19,male,17443.3839835729,0,1,74,3,12,31,3,124
TRUE,25-29,female,33667.7015742642,3,2,76,6,14,21,7,129
TRUE,25-29,male,60011.6769336071,11,8,274,9,38,95,13,448
TRUE,30-34,female,53979.4798083505,13,40,139,19,45,51,13,320
TRUE,30-34,male,114088.832306639,27,46,478,25,100,190,34,900
TRUE,35-39,female,59551.627652293,36,71,224,38,97,57,39,562
TRUE,35-39,male,146652.684462697,73,119,783,46,195,242,60,1518
TRUE,40-44,female,48712.1642710472,47,75,196,50,95,54,40,557
TRUE,40-44,male,131726.973305955,111,210,737,100,285,215,118,1776
TRUE,45-49,female,35064.8980150582,60,61,166,98,106,23,45,559
TRUE,45-49,male,94288.3778234086,125,202,592,169,300,179,157,1724
TRUE,50-54,female,22387.832991102,76,50,92,113,64,28,52,475
TRUE,50-54,male,55189.9055441479,163,170,279,250,236,79,156,1333
TRUE,55-59,female,12813.4757015743,42,24,33,107,59,11,43,319
TRUE,55-59,male,27495.6221765914,141,102,124,226,148,30,102,873
TRUE,60-64,female,7842.54072553046,64,10,21,101,33,7,38,274
TRUE,60-64,male,13924.5667351129,128,55,59,204,109,17,108,680
TRUE,65-69,female,4176.16700889802,37,6,4,44,27,4,27,149
TRUE,65-69,male,5908.39972621492,47,14,3,80,43,11,45,243
TRUE,70-74,female,1461.58247775496,11,1,1,18,17,1,7,56
TRUE,70-74,male,1727.35934291581,20,3,1,25,17,2,26,94
TRUE,75-79,female,374.346338124572,1,0,0,3,9,1,1,15
TRUE,75-79,male,343.071868583162,8,0,0,7,6,2,6,29
TRUE,80-84,female,74.6748802190281,1,0,0,0,0,0,2,3
TRUE,80-84,male,33.201916495551,0,0,0,2,0,0,0,2
