exposure,ag,gender,svd_smk,svd_cvd,svd_otc,svd_drd,svd_hep,svd_oth,fu,total
FALSE,18,female,0,0,0,0,0,1,1045.106091718,1
TRUE,18,female,0,0,0,0,0,0,93.7111567419576,0
FALSE,18,male,0,0,0,0,0,1,1381.64544832307,1
TRUE,18,male,0,0,0,0,0,0,123.920602327173,0
FALSE,19,female,0,0,0,0,0,0,1843.64134154689,0
TRUE,19,female,0,0,0,0,0,0,416.161533196441,0
FALSE,19,male,0,0,1,0,0,0,2676.86516084873,1
TRUE,19,male,0,0,0,2,0,1,508.613278576318,3
FALSE,20,female,0,0,1,0,0,0,3065.57973990418,1
TRUE,20,female,0,0,1,2,0,1,875.039014373717,4
FALSE,20,male,0,0,0,0,0,6,4569.72484599589,6
TRUE,20,male,0,0,0,4,0,4,1155.0417522245,8
FALSE,21,female,0,0,0,0,0,0,4752.85694729637,0
TRUE,21,female,1,0,0,2,0,3,1449.32238193018,6
FALSE,21,male,0,0,0,1,0,2,7216.56947296372,3
TRUE,21,male,0,0,2,16,0,3,2026.27241615332,21
FALSE,22,female,0,0,0,0,0,2,6753.92470910335,2
TRUE,22,female,0,0,2,2,0,4,2167.62217659138,8
FALSE,22,male,0,0,0,1,0,5,10461.4455852156,6
TRUE,22,male,0,0,1,14,0,7,3122.73785078713,22
FALSE,23,female,0,0,0,0,0,1,9028.27926078029,1
TRUE,23,female,0,0,1,5,0,10,2947.29363449692,16
FALSE,23,male,0,1,0,0,0,5,14311.1567419576,6
TRUE,23,male,0,1,0,23,0,14,4457.47570157426,38
FALSE,24,female,0,0,1,2,0,3,11602.3271731691,6
TRUE,24,female,0,1,1,8,0,3,3821.66461327858,13
FALSE,24,male,1,1,0,4,0,10,18917.6783025325,16
TRUE,24,male,0,2,0,15,2,13,6049.32238193018,32
FALSE,25,female,0,0,0,0,0,1,14313.3524982888,1
TRUE,25,female,0,0,0,8,0,7,4732.91991786448,15
FALSE,25,male,0,1,1,0,0,15,24114.2806297057,17
TRUE,25,male,0,1,2,47,0,18,7792.82135523614,68
FALSE,26,female,0,0,2,0,0,1,17186.8227241615,3
TRUE,26,female,0,1,1,18,0,4,5753.8726899384,24
FALSE,26,male,0,0,0,2,0,27,29953.2895277207,29
TRUE,26,male,0,4,3,49,1,20,9765.50034223135,77
FALSE,27,female,0,0,4,1,0,4,20073.5906913073,9
TRUE,27,female,0,1,1,11,0,4,6745.97672826831,17
FALSE,27,male,0,3,5,0,0,19,36300.3175906913,27
TRUE,27,male,0,4,3,46,0,36,11906.46954141,89
FALSE,28,female,0,0,2,1,0,4,23046.2614647502,7
TRUE,28,female,0,2,1,22,0,9,7774.50787132101,34
FALSE,28,male,0,2,4,6,0,17,43036.6105407255,29
TRUE,28,male,0,1,0,72,1,38,14157.0595482546,112
FALSE,29,female,0,0,2,1,0,5,25807.8439425051,8
TRUE,29,female,0,3,3,17,0,16,8660.42436687201,39
FALSE,29,male,0,1,5,6,0,20,49781.1882272416,32
TRUE,29,male,0,3,1,60,0,38,16389.826146475,102
FALSE,30,female,0,2,1,1,0,6,28467.5701574264,10
TRUE,30,female,3,2,3,25,1,17,9429.61533196441,51
FALSE,30,male,0,1,4,9,0,27,56494.9404517454,41
TRUE,30,male,0,4,6,67,2,54,18579.1540041068,133
FALSE,31,female,0,2,5,0,0,9,30819.8959616701,16
TRUE,31,female,0,2,3,21,0,24,10218.7323750856,50
FALSE,31,male,1,7,3,7,0,35,63273.8507871321,53
TRUE,31,male,1,7,3,71,3,60,20802.7323750856,145
FALSE,32,female,0,1,1,1,0,9,32990.6091718001,12
TRUE,32,female,0,3,3,31,0,22,10920.8459958932,59
FALSE,32,male,1,1,7,8,0,34,70034.8637919234,51
TRUE,32,male,0,7,4,104,2,71,22988.5311430527,188
FALSE,33,female,0,0,7,2,0,4,34629.916495551,13
TRUE,33,female,0,4,7,29,0,36,11466.8145106092,76
FALSE,33,male,1,4,8,8,0,40,76109.7768651609,61
TRUE,33,male,0,9,3,104,0,73,24988.3641341547,189
FALSE,34,female,0,1,5,2,0,7,35941.5359342916,15
TRUE,34,female,2,2,2,33,1,44,11943.4715947981,84
FALSE,34,male,3,4,11,11,0,45,81614.9021218344,74
TRUE,34,male,0,7,8,132,1,97,26730.0506502396,245
FALSE,35,female,0,8,6,3,0,4,36823.2826830938,21
TRUE,35,female,1,5,5,43,0,42,12116.2026009582,96
FALSE,35,male,0,7,10,10,0,51,86146.302532512,78
TRUE,35,male,2,3,4,139,3,86,28229.106091718,237
FALSE,36,female,1,0,6,3,0,8,37452.1998631075,18
TRUE,36,female,3,9,5,39,1,48,12191.8740588638,105
FALSE,36,male,1,17,7,7,0,38,89809.9137577002,70
TRUE,36,male,3,9,6,142,4,94,29444.0136892539,258
FALSE,37,female,0,7,8,3,0,12,37254.9541409993,30
TRUE,37,female,3,11,8,39,1,56,12101.6235455168,118
FALSE,37,male,4,14,19,15,0,43,91619.1704312115,95
TRUE,37,male,4,13,9,162,7,123,29909.5222450376,318
FALSE,38,female,2,6,7,5,0,11,36455.0362765229,31
TRUE,38,female,4,10,6,43,0,53,11807.6933607118,116
FALSE,38,male,1,10,11,12,0,52,92075.6221765914,86
TRUE,38,male,8,13,8,168,5,145,29787.1540041068,347
FALSE,39,female,1,6,11,2,0,15,35277.6372347707,35
TRUE,39,female,3,4,4,60,5,51,11334.2340862423,127
FALSE,39,male,1,21,15,12,0,59,91164.3641341547,108
TRUE,39,male,11,22,12,172,4,137,29282.8884325804,358
FALSE,40,female,1,5,7,0,0,10,34021.3442847365,23
TRUE,40,female,4,15,7,51,4,51,10837.4702258727,132
FALSE,40,male,4,9,15,16,0,56,89883.8631074606,100
