exposure,ag,gender,svd_smk,svd_cvd,svd_drd,svd_oth,fu,total
FALSE,18,female,0,0,0,1,1045.106091718,1
TRUE,18,female,0,0,0,0,93.7111567419576,0
FALSE,18,male,0,0,0,1,1381.64544832307,1
TRUE,18,male,0,0,0,0,123.920602327173,0
FALSE,19,female,0,0,0,0,1843.64134154689,0
TRUE,19,female,0,0,0,0,416.161533196441,0
FALSE,19,male,0,0,0,1,2676.86516084873,1
TRUE,19,male,0,0,2,1,508.613278576318,3
FALSE,20,female,0,0,0,1,3065.57973990418,1
TRUE,20,female,0,0,2,2,875.039014373717,4
FALSE,20,male,0,0,0,6,4569.72484599589,6
TRUE,20,male,0,0,4,4,1155.0417522245,8
FALSE,21,female,0,0,0,0,4752.85694729637,0
TRUE,21,female,1,0,2,3,1449.32238193018,6
FALSE,21,male,0,0,1,2,7216.56947296372,3
TRUE,21,male,0,0,16,5,2026.27241615332,21
FALSE,22,female,0,0,0,2,6753.92470910335,2
TRUE,22,female,0,0,2,6,2167.62217659138,8
FALSE,22,male,0,0,1,5,10461.4455852156,6
TRUE,22,male,0,0,14,8,3122.73785078713,22
FALSE,23,female,0,0,0,1,9028.27926078029,1
TRUE,23,female,0,0,5,11,2947.29363449692,16
FALSE,23,male,0,1,0,5,14311.1567419576,6
TRUE,23,male,0,1,23,14,4457.47570157426,38
FALSE,24,female,0,0,2,4,11602.3271731691,6
TRUE,24,female,0,1,8,4,3821.66461327858,13
FALSE,24,male,1,1,4,10,18917.6783025325,16
TRUE,24,male,0,2,15,15,6049.32238193018,32
FALSE,25,female,0,0,0,1,14313.3524982888,1
TRUE,25,female,0,0,8,7,4732.91991786448,15
FALSE,25,male,0,1,0,16,24114.2806297057,17
TRUE,25,male,0,1,47,20,7792.82135523614,68
FALSE,26,female,0,0,0,3,17186.8227241615,3
TRUE,26,female,0,1,18,5,5753.8726899384,24
FALSE,26,male,0,0,2,27,29953.2895277207,29
TRUE,26,male,0,4,49,24,9765.50034223135,77
FALSE,27,female,0,0,1,8,20073.5906913073,9
TRUE,27,female,0,1,11,5,6745.97672826831,17
FALSE,27,male,0,3,0,24,36300.3175906913,27
TRUE,27,male,0,4,46,39,11906.46954141,89
FALSE,28,female,0,0,1,6,23046.2614647502,7
TRUE,28,female,0,2,22,10,7774.50787132101,34
FALSE,28,male,0,2,6,21,43036.6105407255,29
TRUE,28,male,0,1,72,39,14157.0595482546,112
FALSE,29,female,0,0,1,7,25807.8439425051,8
TRUE,29,female,0,3,17,19,8660.42436687201,39
FALSE,29,male,0,1,6,25,49781.1882272416,32
TRUE,29,male,0,3,60,39,16389.826146475,102
FALSE,30,female,0,2,1,7,28467.5701574264,10
TRUE,30,female,3,2,25,21,9429.61533196441,51
FALSE,30,male,0,1,9,31,56494.9404517454,41
TRUE,30,male,0,4,67,62,18579.1540041068,133
FALSE,31,female,0,2,0,14,30819.8959616701,16
TRUE,31,female,0,2,21,27,10218.7323750856,50
FALSE,31,male,1,7,7,38,63273.8507871321,53
TRUE,31,male,1,7,71,66,20802.7323750856,145
FALSE,32,female,0,1,1,10,32990.6091718001,12
TRUE,32,female,0,3,31,25,10920.8459958932,59
FALSE,32,male,1,1,8,41,70034.8637919234,51
TRUE,32,male,0,7,104,77,22988.5311430527,188
FALSE,33,female,0,0,2,11,34629.916495551,13
TRUE,33,female,0,4,29,43,11466.8145106092,76
FALSE,33,male,1,4,8,48,76109.7768651609,61
TRUE,33,male,0,9,104,76,24988.3641341547,189
FALSE,34,female,0,1,2,12,35941.5359342916,15
TRUE,34,female,2,2,33,47,11943.4715947981,84
FALSE,34,male,3,4,11,56,81614.9021218344,74
TRUE,34,male,0,7,132,106,26730.0506502396,245
FALSE,35,female,0,8,3,10,36823.2826830938,21
